course_link,course_id,course_name,course_slug,reviews_id,1_star_reviews,2_star_reviews,3_star_reviews,4_star_reviews,5_star_reviews,total_reviews
https://www.coursera.org/learn/gcp-fundamentals-jp,LIK6sE_AEeip8hITK9rAzA,Google Cloud Fundamentals: Core Infrastructure 日本語版,gcp-fundamentals-jp,COURSE~LIK6sE_AEeip8hITK9rAzA,5,2,5,20,26,58
https://www.coursera.org/learn/gcp-fundamentals-ko,UNtmZAXDEey5zQ4LqE3elQ,Google Cloud Fundamentals: Core Infrastructure 한국어,gcp-fundamentals-ko,COURSE~UNtmZAXDEey5zQ4LqE3elQ,0,0,0,1,1,2
https://www.coursera.org/learn/gcp-infrastructure-core-services,9xG8yUo7EeeJdBL3H0RODg,Essential Google Cloud Infrastructure: Core Services,gcp-infrastructure-core-services,COURSE~9xG8yUo7EeeJdBL3H0RODg,9,9,38,171,688,915
https://www.coursera.org/learn/gcp-infrastructure-core-services-br,H9eCf6WJEeiL8hKwqznX5g,Essential Cloud Infrastructure: Core Services em Português Brasileiro,gcp-infrastructure-core-services-br,COURSE~H9eCf6WJEeiL8hKwqznX5g,0,1,0,1,15,17
https://www.coursera.org/learn/gcp-infrastructure-core-services-es,Tk9Dc6WJEeiH3AqX3raR7A,Essential Cloud Infrastructure: Core Services en Español,gcp-infrastructure-core-services-es,COURSE~Tk9Dc6WJEeiH3AqX3raR7A,0,0,1,0,26,27
https://www.coursera.org/learn/gcp-infrastructure-core-services-fr,51cpl6WGEeitEhLVGC9j7A,Essential Cloud Infrastructure: Core Services en Français,gcp-infrastructure-core-services-fr,COURSE~51cpl6WGEeitEhLVGC9j7A,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-infrastructure-core-services-it,9WVef_Y2EeuEcw6azz3PZQ,Essential Google Cloud Infrastructure: Core Service italiano,gcp-infrastructure-core-services-it,COURSE~9WVef_Y2EeuEcw6azz3PZQ,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-infrastructure-core-services-jp,PKcRqaWHEeipIQrH-_6yOA,Essential Cloud Infrastructure: Core Services 日本語版,gcp-infrastructure-core-services-jp,COURSE~PKcRqaWHEeipIQrH-_6yOA,0,0,1,3,3,7
https://www.coursera.org/learn/gcp-infrastructure-core-services-ko,fEN1-QXDEey5zQ4LqE3elQ,Essential Google Cloud Infrastructure: Core Services 한국어,gcp-infrastructure-core-services-ko,COURSE~fEN1-QXDEey5zQ4LqE3elQ,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-infrastructure-foundation,sK6edjzPEees8grTZvuQjA,Essential Google Cloud Infrastructure: Foundation,gcp-infrastructure-foundation,COURSE~sK6edjzPEees8grTZvuQjA,16,10,60,298,1417,1801
https://www.coursera.org/learn/gcp-infrastructure-foundation-br,pOTR8KWGEeipAg4L-e-Ezg,Essential Cloud Infrastructure: Foundation em Português Brasileiro,gcp-infrastructure-foundation-br,COURSE~pOTR8KWGEeipAg4L-e-Ezg,1,0,0,3,33,37
https://www.coursera.org/learn/gcp-infrastructure-foundation-es,ETVa_6WGEeiuigqo2O4RrA,Essential Cloud Infrastructure: Foundation en Español,gcp-infrastructure-foundation-es,COURSE~ETVa_6WGEeiuigqo2O4RrA,0,0,0,7,64,71
https://www.coursera.org/learn/gcp-infrastructure-foundation-fr,TiVUjKWGEei3zwoGmBo8pg,Essential Cloud Infrastructure: Foundation en Français,gcp-infrastructure-foundation-fr,COURSE~TiVUjKWGEei3zwoGmBo8pg,0,0,1,0,0,1
https://www.coursera.org/learn/gcp-infrastructure-foundation-it,07GXVPY2EeuF2QoXUFSfUQ,Essential Google Cloud Infrastructure: Foundation italiano,gcp-infrastructure-foundation-it,COURSE~07GXVPY2EeuF2QoXUFSfUQ,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-infrastructure-foundation-jp,uI7ZD6WGEeiuigqo2O4RrA,Essential Cloud Infrastructure: Foundation 日本語版,gcp-infrastructure-foundation-jp,COURSE~uI7ZD6WGEeiuigqo2O4RrA,1,0,1,1,4,7
https://www.coursera.org/learn/gcp-infrastructure-foundation-ko,qM8dTAXDEey7UArf-9pKDQ,Essential Google Cloud Infrastructure: Foundation 한국어,gcp-infrastructure-foundation-ko,COURSE~qM8dTAXDEey7UArf-9pKDQ,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-infrastructure-scaling-automation,G4Fvqko8Eee4pw7hxA2o1A,Elastic Google Cloud Infrastructure: Scaling and Automation,gcp-infrastructure-scaling-automation,COURSE~G4Fvqko8Eee4pw7hxA2o1A,16,18,42,139,574,789
https://www.coursera.org/learn/gcp-infrastructure-scaling-automation-br,DyqaBqWKEei3zwoGmBo8pg,Elastic Cloud Infrastructure: Scaling and Automation em Português Brasileiro,gcp-infrastructure-scaling-automation-br,COURSE~DyqaBqWKEei3zwoGmBo8pg,3,0,0,2,13,18
https://www.coursera.org/learn/gcp-infrastructure-scaling-automation-es,NEMPQKWKEeis9hK3qadDqA,Elastic Cloud Infrastructure: Scaling and Automation en Español,gcp-infrastructure-scaling-automation-es,COURSE~NEMPQKWKEeis9hK3qadDqA,1,0,1,1,27,30
